"Source","Target","flights_count","flight_year"
"YSWG","YSSY","38.0","2021"
"KCLT","KBKL","23.0","2021"
"YBSS","YBSS","52.0","2021"
"LOWW","ELLX","8.0","2021"
"84OH","KRZT","1.0","2021"
"LEMD","LEIB","20.0","2021"
"WA67","8OR6","1.0","2021"
"KAVL","8NC9","6.0","2021"
"YBCG","YMAV","9.0","2021"
"KBAF","MA52","1.0","2021"
"LIEA","LIML","12.0","2021"
"LIPE","LIBD","9.0","2021"
"KPNE","KAPF","5.0","2021"
"CL36","KSTS","3.0","2021"
"KECP","KRNO","1.0","2021"
"2MO1","KORD","3.0","2021"
"KPBI","TJSJ","6.0","2021"
"EDFH","EPGD","1.0","2021"
"FAOR","FACT","144.0","2021"
"KDAL","KFTW","6.0","2021"
"KRHV","KLVK","9.0","2021"
"KPBI","KFRG","24.0","2021"
"KDPA","02GA","1.0","2021"
"OMRK","OMDW","4.0","2021"
"KCLT","CYYZ","14.0","2021"
"EINN","KJFK","1.0","2021"
"KAUS","KRKP","3.0","2021"
"KBOI","KLAX","43.0","2021"
"KCRQ","KSLC","5.0","2021"
"2AZ7","0AZ5","2.0","2021"
"KRYY","KBNA","5.0","2021"
"YSCB","YCBG","2.0","2021"
"KLVK","KSBP","1.0","2021"
"LTFM","EDDM","12.0","2021"
"CYVR","KPHX","1.0","2021"
"KMQJ","KPWK","2.0","2021"
"GQNO","LFPG","1.0","2021"
"II18","KVPZ","2.0","2021"
"OTHH","EPWA","4.0","2021"
"KMSP","CYYC","8.0","2021"
"KLNS","KFRG","1.0","2021"
"FD04","FD04","22.0","2021"
"KPSP","KWHP","6.0","2021"
"KCLT","KECP","12.0","2021"
"KTCY","KRHV","2.0","2021"
"FL16","KMJX","1.0","2021"
"KGAI","KACY","1.0","2021"
"KBNA","KHOU","23.0","2021"
"VT25","KIAD","3.0","2021"
"TJSJ","KDTW","6.0","2021"
"SKGY","KFXE","1.0","2021"
"K9G3","K9G3","19.0","2021"
"KBWI","KMCF","6.0","2021"
"ESSP","EKVH","1.0","2021"
"KSFO","KVNY","17.0","2021"
"EGCC","EBBR","8.0","2021"
"TS47","KGKY","1.0","2021"
"KSEA","KGPI","13.0","2021"
"KBUR","KSJC","25.0","2021"
"KCNO","KPHX","2.0","2021"
"KPTV","62CL","1.0","2021"
"KPWK","KAPA","4.0","2021"
"KSNA","KAPC","9.0","2021"
"KORD","KVPS","14.0","2021"
"SBBR","SBSP","39.0","2021"
"CJA3","CTN6","1.0","2021"
"SC34","KAND","3.0","2021"
"SKBO","EHAM","8.0","2021"
"KTKI","KPWK","1.0","2021"
"KPLU","KVUO","1.0","2021"
"KJFK","LIMC","18.0","2021"
"KMCI","4IL3","2.0","2021"
"KMOD","KMPI","3.0","2021"
"KPTK","KGRB","2.0","2021"
"FD81","FD08","1.0","2021"
"MP00","MPMG","8.0","2021"
"KNYL","KNUC","3.0","2021"
"EGAD","EGTP","1.0","2021"
"EDWO","EDDV","2.0","2021"
"KBWI","KMTN","6.0","2021"
"34FD","KX50","1.0","2021"
"KAVQ","KP08","8.0","2021"
"II77","KBUF","1.0","2021"
"KATL","K2R2","1.0","2021"
"LROP","EHAM","19.0","2021"
"KFTY","KOPF","2.0","2021"
"KVPC","KPDK","8.0","2021"
"KGSP","KORD","3.0","2021"
"8CO9","CO98","1.0","2021"
"KPTK","KJVL","1.0","2021"
"LFMD","EDTF","1.0","2021"
"KACY","KMHT","2.0","2021"
"KIND","KDCA","12.0","2021"
"KPTK","KYIP","3.0","2021"
"LFOP","LFPN","2.0","2021"
"LIMC","EBMB","8.0","2021"
"KFXE","KGSO","1.0","2021"
"UAAA","EBMB","1.0","2021"
"KLAS","KIAH","1.0","2021"
"EDSB","EDTD","1.0","2021"
"67KY","KMIA","6.0","2021"
"LFOR","LFOR","1.0","2021"
"KMCF","01FA","1.0","2021"
"MPTO","KFLL","5.0","2021"
"KJVY","2OH4","1.0","2021"
"K2R4","26AL","1.0","2021"
"KP08","KFFZ","13.0","2021"
"EDDL","LOWS","2.0","2021"
"KUUU","KISP","2.0","2021"
"IA30","KCWI","1.0","2021"
"EYKA","LGAV","1.0","2021"
"EDDM","EHRD","1.0","2021"
"KRYV","IL88","1.0","2021"
"KDEN","8CO2","1.0","2021"
"CYYZ","82FL","3.0","2021"
"KLXT","KSZL","1.0","2021"
"KGSO","KIAD","11.0","2021"
"KIAD","KNY2","1.0","2021"
"KCRQ","KFRG","1.0","2021"
